feature,importance,config
log-sigma-5-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0,radiomics3d_plus_simple
square_firstorder_Skewness,0.0,radiomics3d_plus_simple
square_firstorder_Minimum,0.0,radiomics3d_plus_simple
lbp-3D-m1_glszm_HighGrayLevelZoneEmphasis,0.0,radiomics3d_plus_simple
lbp-3D-k_firstorder_Kurtosis,0.0,radiomics3d_plus_simple
wavelet-HHH_gldm_DependenceVariance,0.0,radiomics3d_plus_simple
lbp-3D-m2_glszm_SizeZoneNonUniformity,0.0,radiomics3d_plus_simple
original_gldm_LargeDependenceEmphasis,0.0,radiomics3d_plus_simple
wavelet-HLL_firstorder_Skewness,0.0,radiomics3d_plus_simple
lbp-3D-m1_glrlm_LongRunHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
lbp-3D-k_glrlm_LongRunHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
wavelet-HLL_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_gldm_DependenceVariance,0.0,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
lbp-3D-m2_gldm_DependenceVariance,0.0,radiomics3d_plus_simple
lbp-3D-m1_glszm_SmallAreaHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
wavelet-LHH_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HHH_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
wavelet-LHL_glszm_LargeAreaEmphasis,0.0,radiomics3d_plus_simple
lbp-3D-m1_glcm_ClusterShade,0.0,radiomics3d_plus_simple
wavelet-LLL_glcm_JointEntropy,0.0,radiomics3d_plus_simple
square_glszm_ZoneEntropy,0.0,radiomics3d_plus_simple
lbp-3D-m2_firstorder_90Percentile,0.0,radiomics3d_plus_simple
exponential_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_JointEntropy,0.0,radiomics3d_plus_simple
squareroot_glcm_JointEntropy,0.0,radiomics3d_plus_simple
original_firstorder_Skewness,0.0,radiomics3d_plus_simple
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,0.0,radiomics3d_plus_simple
original_glcm_DifferenceEntropy,0.0,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_Kurtosis,0.0,radiomics3d_plus_simple
square_glcm_DifferenceAverage,0.0,radiomics3d_plus_simple
exponential_glszm_ZoneEntropy,0.0,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Minimum,0.0,radiomics3d_plus_simple
wavelet-LLL_firstorder_Kurtosis,0.0,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.0,radiomics3d_plus_simple
lbp-3D-m1_firstorder_Median,0.0,radiomics3d_plus_simple
square_glcm_JointEntropy,0.0,radiomics3d_plus_simple
lbp-3D-k_glszm_SizeZoneNonUniformity,0.0,radiomics3d_plus_simple
gradient_glrlm_LongRunHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
gradient_firstorder_Maximum,0.0,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_InterquartileRange,0.0,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HHH_gldm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
gradient_glcm_DifferenceEntropy,0.0,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glszm_ZoneEntropy,0.0,radiomics3d_plus_simple
