feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
wavelet-LLL_firstorder_Skewness,0.009738787881815,0.010252666206286168,0.01336146053920645,0.009836264624568018,0.020589150223133266,0.0022478451214276943,0.002659218900739498,0.23695735831219075,105,firstorder,100
lbp-3D-m1_glcm_ClusterShade,0.00968555017367307,0.0091364428609786,0.022783982031467215,0.0022172157694043087,0.006692090632523143,0.008526800238349721,0.008207662196621357,0.29735037007380455,91,glcm,101
wavelet-LLL_firstorder_Range,0.009585976843419063,0.009395795008345071,0.018845253655238627,0.005094999977360186,0.010274071293803136,0.008404704009074091,0.0053108552816201115,0.2919041015430595,92,firstorder,102
lbp-3D-k_gldm_DependenceNonUniformity,0.009536930401896081,0.009558010425918992,0.0078010448771635285,0.013185987976517155,0.0016699006392188356,0.009019118854728022,0.016008599661853803,0.13720528259724823,138,gldm,103
log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.009499083883679307,0.009472597709930882,0.0022550549186927853,0.022542386569442144,0.0020973516231236624,0.009602782676416658,0.010997843630721725,0.214826306152687,111,gldm,104
log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.009361139089023864,0.009463677929389906,0.018918916503253065,0.0038660633811319544,0.007191219665997667,0.0010117304106516116,0.01581776548408533,0.21529551175805556,110,gldm,105
lbp-3D-m1_gldm_LargeDependenceEmphasis,0.009343134098910884,0.009190467162126873,0.022965422588259083,0.0005186670632557946,0.01338200628445391,0.00014821971644249168,0.009701354842143694,0.23074872830061052,107,gldm,106
wavelet-LLL_glcm_DifferenceEntropy,0.009339465893236951,0.008860237483648354,0.02082261541747988,0.0040312006382127435,0.013682754002183072,0.0057208329834845095,0.0024399264248235754,0.35468069042493783,78,glcm,107
original_glcm_Idn,0.00918546102209858,0.0097501091556766,0.003974338579843713,0.01153251338499795,0.00750971499601839,0.010173641533138163,0.012737096616494177,0.14889105185601384,131,glcm,108
square_gldm_LargeDependenceLowGrayLevelEmphasis,0.009069108533010944,0.00896765795637289,0.011304063056146405,0.0041571378128722886,0.007798374866187458,0.012933829384398172,0.009152137545450332,0.1737408821326366,124,gldm,109
wavelet-LLL_firstorder_Mean,0.00904881855214448,0.008571492813289757,0.007030519534476545,0.014918355629456115,0.0030674396139876966,0.01722646278436796,0.0030013151984332226,0.38211372764178064,75,firstorder,110
wavelet-HHH_glcm_Imc2,0.008945124901799358,0.008766678820038232,0.002679252180343135,0.0006679974196396624,0.009192280476866177,0.00990775378760099,0.022278340644545817,0.4456207132682522,62,glcm,111
