feature,feature_class,n,spearman_rho_vs_grade,spearman_p,abs_rho,bonferroni_alpha,significant_bonferroni,importance,importance_rank
gradient_glszm_LargeAreaHighGrayLevelEmphasis,glszm,630,-0.5321196661299579,2.394848988958505e-47,0.5321196661299579,9.671179883945843e-05,True,0.0,458
log-sigma-4-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,glszm,630,0.5300914513479439,6.167949587664844e-47,0.5300914513479439,9.671179883945843e-05,True,0.2259805721066882,109
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,glszm,630,0.5296881260352823,7.438965102724036e-47,0.5296881260352823,9.671179883945843e-05,True,0.011031824244570552,212
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,glszm,630,0.5292786177782894,8.995381624347263e-47,0.5292786177782894,9.671179883945843e-05,True,0.0,268
lbp-3D-k_glszm_GrayLevelNonUniformity,glszm,630,-0.5275302087237562,2.0184603612903734e-46,0.5275302087237562,9.671179883945843e-05,True,0.4051914277777492,68
log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,630,0.5246742984542182,7.481207909786905e-46,0.5246742984542182,9.671179883945843e-05,True,0.214826306152687,111
exponential_glcm_ClusterProminence,glcm,630,-0.5239092458520772,1.0603937471069929e-45,0.5239092458520772,9.671179883945843e-05,True,0.2769646116336169,98
lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,glszm,630,-0.5227989314486506,1.7564895773797865e-45,0.5227989314486506,9.671179883945843e-05,True,0.12546155739622125,142
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,630,-0.5187837881929181,1.0727938743510074e-44,0.5187837881929181,9.671179883945843e-05,True,0.12684397069109596,140
lbp-3D-k_glszm_ZonePercentage,glszm,630,-0.5177646347370298,1.6917154561154198e-44,0.5177646347370298,9.671179883945843e-05,True,0.0,478
gradient_firstorder_Kurtosis,firstorder,630,-0.5169351782322795,2.4480795785128353e-44,0.5169351782322795,9.671179883945843e-05,True,0.19273819800286884,119
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,glszm,630,0.5159634079650931,3.7696352695267897e-44,0.5159634079650931,9.671179883945843e-05,True,0.11207449148311728,150
lbp-3D-k_glszm_ZoneEntropy,glszm,630,-0.5109713143236825,3.3876248685748624e-43,0.5109713143236825,9.671179883945843e-05,True,0.1962716158914021,116
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,glszm,630,0.5103246930755095,4.490163772892046e-43,0.5103246930755095,9.671179883945843e-05,True,0.0,510
wavelet-HLL_glcm_Correlation,glcm,630,-0.5099828251627868,5.2101645879410005e-43,0.5099828251627868,9.671179883945843e-05,True,0.0,370
square_firstorder_Median,firstorder,630,0.508231294813086,1.113327438966323e-42,0.508231294813086,9.671179883945843e-05,True,0.0,352
lbp-3D-k_firstorder_Range,firstorder,630,0.5056902322262156,3.323947743383632e-42,0.5056902322262156,9.671179883945843e-05,True,0.42541064726272393,64
original_shape_MajorAxisLength,shape,630,0.505017663072861,4.433204292597309e-42,0.505017663072861,9.671179883945843e-05,True,0.8312871808392327,36
log-sigma-5-0-mm-3D_glcm_MaximumProbability,glcm,630,0.5039609985142419,6.960520255876282e-42,0.5039609985142419,9.671179883945843e-05,True,0.0,369
gradient_glcm_Idn,glcm,630,-0.501267252976352,2.1828257152933813e-41,0.501267252976352,9.671179883945843e-05,True,0.38332354960434906,74
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,630,0.49973486815957646,4.1631652474090555e-41,0.49973486815957646,9.671179883945843e-05,True,0.0,309
lbp-3D-m1_glcm_ClusterShade,glcm,630,-0.499200201322536,5.211059025246424e-41,0.499200201322536,9.671179883945843e-05,True,0.29735037007380455,91
square_glcm_Imc1,glcm,630,0.49606489689139505,1.9285273642796403e-40,0.49606489689139505,9.671179883945843e-05,True,0.0,419
exponential_glszm_ZoneEntropy,glszm,630,-0.49552422100440885,2.413423312890059e-40,0.49552422100440885,9.671179883945843e-05,True,0.0,282
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,glszm,630,0.4948935818652752,3.1334958930210628e-40,0.4948935818652752,9.671179883945843e-05,True,0.0,234
wavelet-HLL_firstorder_10Percentile,firstorder,630,0.4929121221522266,7.092221788158774e-40,0.4929121221522266,9.671179883945843e-05,True,0.0,347
log-sigma-5-0-mm-3D_glcm_Idn,glcm,630,-0.49093483520339753,1.5939696433139208e-39,0.49093483520339753,9.671179883945843e-05,True,0.0,387
exponential_firstorder_10Percentile,firstorder,630,-0.4900649898235694,2.272333620219533e-39,0.4900649898235694,9.671179883945843e-05,True,0.0,371
gradient_firstorder_InterquartileRange,firstorder,630,0.4881819671266868,4.878862738416271e-39,0.4881819671266868,9.671179883945843e-05,True,0.0,353
log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,gldm,630,0.4873485001522701,6.831928206961997e-39,0.4873485001522701,9.671179883945843e-05,True,0.0,349
log-sigma-5-0-mm-3D_firstorder_90Percentile,firstorder,630,0.48603829748888877,1.1576968933510663e-38,0.48603829748888877,9.671179883945843e-05,True,0.0,390
wavelet-LLL_glcm_MCC,glcm,630,-0.4850300219129355,1.7345601316094133e-38,0.4850300219129355,9.671179883945843e-05,True,0.39766587969349954,69
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,glszm,630,0.48279553181052876,4.2291720248924746e-38,0.48279553181052876,9.671179883945843e-05,True,1.1744616969252788,22
exponential_glszm_ZonePercentage,glszm,630,-0.4814591339224065,7.184379768972007e-38,0.4814591339224065,9.671179883945843e-05,True,0.0,477
lbp-3D-m2_glrlm_LongRunLowGrayLevelEmphasis,glrlm,630,-0.479509982730352,1.549623743145878e-37,0.479509982730352,9.671179883945843e-05,True,0.5571471373625297,55
exponential_firstorder_Kurtosis,firstorder,630,0.47763138416902734,3.2355790985799956e-37,0.47763138416902734,9.671179883945843e-05,True,0.0,436
wavelet-HLL_firstorder_InterquartileRange,firstorder,630,-0.47654236811914036,4.94754157532476e-37,0.47654236811914036,9.671179883945843e-05,True,0.0,346
exponential_glszm_ZoneVariance,glszm,630,-0.475289544591541,8.049160260172236e-37,0.475289544591541,9.671179883945843e-05,True,0.0,496
lbp-3D-m1_glcm_InverseVariance,glcm,630,0.4747617289684385,9.87496707832705e-37,0.4747617289684385,9.671179883945843e-05,True,0.0,242
wavelet-HLL_glcm_JointEnergy,glcm,630,0.4743959585337523,1.137553945834141e-36,0.4743959585337523,9.671179883945843e-05,True,0.0,474
square_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,630,0.472813123489335,2.0940046436209807e-36,0.472813123489335,9.671179883945843e-05,True,0.0,267
wavelet-HHH_glszm_SizeZoneNonUniformity,glszm,630,0.4711850667411172,3.9094228675176085e-36,0.4711850667411172,9.671179883945843e-05,True,0.0,394
logarithm_gldm_LowGrayLevelEmphasis,gldm,630,0.4708711290764347,4.4078621561759615e-36,0.4708711290764347,9.671179883945843e-05,True,0.030316307404018392,201
